fullName,gender,dob,age,contactNumber,email,address,city,state,pin,employmentType,employerName,netMonthlyIncome,loanType,loanAmount,loanTenure,hasIdentityProof,hasAddressProof,hasBankStatement,hasSalaryProof,declaration,businessName,businessType,businessRegistrationNumber,businessStartDate,businessIncome,businessExpenses,businessAssets,businessLiabilities,loanApproved
Randall Wood,male,1962-07-05,68,470-649-3207x227,danaolsen@example.org,0004 Price Haven Suite 335,Simmonston,Nebraska,54783,self-employed,Miller-Gonzalez,44720.62836641915,business,39551.577414184205,12,False,True,False,True,True,Herrera-Davis,partnership,c6f6c720-b094-4775-b4ac-a8327af2cee9,2011-01-29,21732.652681370302,2225.214721862967,41368.785107502845,3372.820058762198,True
Lindsey Daugherty,female,1970-03-24,53,+1-658-786-8044x21049,bhenry@example.org,03805 Singh Grove,Alanfort,Michigan,91537,business owner,Flowers PLC,5139.212749488516,business,28066.454968686056,16,False,True,True,False,True,Henry-Martin,partnership,6bf242d5-f85f-4e19-b0ed-8fcba0fca0ed,2004-04-22,33502.77600141319,11198.754938547716,10663.363970357346,2404.9144860276547,False
James Foley MD,male,1979-02-16,33,+1-383-218-7305x1075,walkermichelle@example.org,8437 Warren Meadows,Mooreside,Tennessee,28846,salaried,Williamson Ltd,49321.10459931205,business,59946.69462206268,33,False,False,False,False,True,Allen Ltd,sole proprietorship,c9647e52-6f0c-481e-bde4-9caf2aa4d3cb,2013-12-12,35439.810509017145,17153.401916467992,27354.727882376512,9934.038327023472,False
Nicholas Graves,male,1961-11-01,61,(910)537-9771x0592,elizabeth26@example.com,081 Sue Camp Apt. 005,Joelchester,California,86598,salaried,Hall Ltd,23827.111461092973,business,87790.75608242743,31,True,False,False,False,True,Silva Inc,corporation,9a0b0ba2-c7c5-4a81-a9ea-6d599a13db13,2021-01-04,26256.122703896617,14973.587209496352,44514.015836533305,2222.2742984451456,True
Erica Rodriguez,male,1989-01-09,60,408-951-9684,cgutierrez@example.com,147 Mark Crescent,South Brian,Nevada,16797,self-employed,Camacho-Thompson,29944.215298820072,business,82972.21357546341,14,False,False,False,False,True,Davis-Hayden,sole proprietorship,4915b037-74ea-4591-82ff-801395697342,2005-03-30,48772.51812294418,9112.736646528036,43037.481685533574,5972.987410510191,True
Mary Flores,male,1982-10-24,61,923-407-3840x898,patelluis@example.net,36346 Emily Road,Port Javier,New York,83187,self-employed,Wells-Rogers,49468.13969453531,business,59611.623227715056,34,False,True,False,True,True,Villegas and Sons,sole proprietorship,a9c33b0a-d9b3-42d2-b9ae-050d41753b58,2002-10-16,39018.38901836519,4066.0651424877055,20324.01685785757,8150.151356794956,True
Bobby Roth,male,1968-03-25,28,+1-571-755-3167x038,vanessa82@example.net,648 Hanna Summit Apt. 963,Sherryborough,Connecticut,34485,salaried,Andrews-Mcdonald,29920.96712624058,business,40171.18091505446,15,True,True,False,True,True,"Ramirez, Gomez and Barron",sole proprietorship,428d51ea-adf1-41f5-b1fb-d3354c01db66,2000-05-02,16034.604367954342,19078.583535072197,43414.176757188005,2013.0989307656353,False
Anthony Smith,other,1994-09-25,45,847.875.7493x467,susan85@example.net,215 White Street Apt. 041,Lindseyville,Minnesota,50987,salaried,Lynch Ltd,43427.38693140101,business,54663.43988671484,27,False,True,False,True,True,Ortiz Group,corporation,46280f8b-60f7-4f86-84a2-28c91d5d4342,2004-10-11,35409.26671869836,9560.575097157172,25675.672289706687,1213.298312493444,False
Yvonne Harris DDS,female,1976-01-25,61,763-344-8988,melissa16@example.com,520 Porter Overpass,Aaronbury,Georgia,51784,business owner,Wright PLC,14364.972213409392,business,31070.66482459576,16,False,False,True,False,True,"Medina, Hodges and Torres",partnership,1c018631-8f77-441e-b818-45581a0d0a0f,2010-03-19,46873.406663640875,8606.97052566708,28144.456506705366,7228.397942500923,True
Heather Rogers,male,1969-11-14,28,761.469.5690x6843,virginiadaniels@example.org,3779 Melinda Plaza Apt. 654,South Eric,Georgia,95138,self-employed,Williams-Berry,46104.02945593248,business,70932.72861418384,28,False,True,False,True,True,Moore-Hall,corporation,6e43e3f5-481a-403d-884f-fbb05f73dd03,2000-08-01,5748.044364231163,5523.562947569734,43660.82056148193,7767.614355503221,False
Amanda Hale,male,1961-12-05,35,388-596-3775,kelly68@example.com,4236 Patricia Station Apt. 282,Khanport,Rhode Island,57422,salaried,Moore Inc,17161.536004288588,business,90353.97965336143,16,False,True,False,True,True,Gonzales-Hale,partnership,2af3b3ad-6fb4-42bd-a54d-99c2680014e3,2014-09-02,20117.761519607033,6759.606363988259,26185.767740618827,5069.73166371982,False
Jennifer Williamson,male,1960-12-20,67,001-501-427-9344,desiree63@example.net,531 Kaitlin Fort Suite 043,Dawsonmouth,Washington,95879,salaried,Irwin-Espinoza,48189.18306531532,business,81080.0214081564,33,False,False,False,False,True,Howe Inc,partnership,20381d04-f989-4066-8b54-fbac10c6c915,2018-09-07,24094.34706760956,10630.495963576614,10567.482437761311,4578.598809631471,False
Bonnie Young,male,1993-03-28,49,001-562-555-7109,daltontorres@example.com,4839 Melton Rue Suite 792,Latashaborough,Connecticut,10149,business owner,Martinez LLC,37233.534039109385,business,37987.18525658495,12,True,True,True,False,True,Browning Group,corporation,ac9b6b01-4611-4304-9421-ee22fe193486,2016-05-24,30154.61713852039,4955.313137975736,27850.433620548967,2312.007010124358,False
Michael Gallagher,female,1954-01-01,28,(273)499-8476,halecory@example.com,42884 Keith Prairie,Stephenburgh,Wisconsin,83283,salaried,Wells Inc,28297.208370028042,business,93443.0089126777,13,False,False,False,True,True,Rios Inc,corporation,ec61ea63-e432-4af6-9420-d2b89e1e20d9,2000-04-13,33312.78164769138,16677.54108117144,13460.171197315369,9747.13557976896,True
Javier Brooks,female,2002-06-18,49,+1-692-920-9614x080,fporter@example.com,9314 Peterson Canyon Apt. 611,Jamieburgh,Minnesota,92975,salaried,"Sims, Krueger and Schwartz",19318.518268452786,business,77699.8733625782,26,False,True,True,False,True,Porter Group,corporation,eaba4cf7-4ec2-4c3d-8c6f-1063938a52f5,2023-03-11,47438.53806859876,15812.400656119027,46422.84704297084,2272.1028111346805,True
Melissa Daniel,male,1993-05-14,49,+1-830-521-9843x945,johnsonanthony@example.org,4699 Johnson Cliff Apt. 332,Briannaberg,Ohio,33025,salaried,Mathews and Sons,21631.34994702003,business,52254.49479743259,26,True,False,False,True,True,Dyer Group,corporation,d8e727b8-0871-48da-bb04-4bbd1cfcce6c,2022-10-04,36841.54635610693,10321.100975097144,45733.92655403369,6111.941481295327,False
Scott Snyder,male,1992-12-25,53,(742)205-7789,bullockadam@example.net,032 Debra Island,Taylorport,Louisiana,01413,business owner,"Taylor, Carter and Ramos",37241.135559357914,business,40063.276422657815,28,False,True,False,True,True,Fleming Inc,partnership,672a0804-5a26-421d-8f37-4ed0fc80730f,2023-03-04,27162.203172344867,19018.616110729905,16575.977684710753,2218.9013203781533,True
Mandy Vega,other,1986-07-22,54,+1-937-848-0823x82154,johnny32@example.org,97867 Gonzalez Trace,East Madisonhaven,Wyoming,06255,salaried,May Ltd,38824.788926363195,business,48065.265714934845,36,True,True,False,True,True,King Ltd,corporation,3b63a112-f11a-49bb-b155-c18e65eb01be,2014-04-21,29313.14299625988,7534.9839275474515,30047.06289933449,8395.009270992205,False
Devin Brown,other,1997-05-13,29,+1-588-333-4071x628,myerskayla@example.com,891 Jones Vista,Biancaland,Minnesota,69535,salaried,Paul-Morgan,44376.22954644781,business,42466.99244361551,35,True,True,True,True,True,Parker-Carroll,corporation,1a2bcb7b-8be4-4508-b701-623d98c041aa,2008-04-13,37284.436699229875,10710.107760339448,16914.24011799215,6879.645434467188,False
Beth Brown,other,1977-09-03,35,(678)651-4671x46419,peterkirk@example.com,656 Lloyd Village Suite 916,South Robertburgh,Washington,04017,salaried,Adams Ltd,48678.78857053291,business,93962.84651735578,29,True,False,False,True,True,Hudson-Hawkins,corporation,7349bc8c-9836-4c9a-b21d-81b5f5537de1,2000-08-02,38342.252405422165,16729.6385701091,32762.753095289016,3120.7460067805273,False
Carol Barton,other,1992-11-10,32,+1-221-245-7969x04409,gdavis@example.com,04094 Lauren Turnpike Suite 250,Lisafort,Utah,80452,business owner,Coleman PLC,45792.85468119348,business,33352.31393920592,35,True,False,True,True,True,Stewart Group,corporation,06c98452-bdd7-4e7b-947b-bbf2df356133,2006-05-20,9925.636060017187,5883.996960997596,13991.371969156047,3431.504789284183,True
David Love,other,1980-06-17,29,(664)799-5860,melissa97@example.net,507 Powell Views Apt. 390,South Eugenefort,Utah,24941,business owner,Hall Group,15808.855332406654,business,39649.72898550371,30,True,False,True,True,True,Wood-Thomas,corporation,fa68ce27-d88f-4071-8b13-cd74396b587c,2007-04-17,35222.71931311171,2823.0560211089296,39686.40819251763,3812.2955513632746,False
Melissa Mcbride,other,1955-12-19,19,+1-646-622-3471x634,donaldbranch@example.net,4691 Kristen Haven,Emilytown,New Mexico,20400,self-employed,Davis and Sons,46940.37792675962,business,25009.02754729599,36,True,True,False,True,True,"Brown, Walker and Freeman",sole proprietorship,457c99b2-63ef-41ca-9512-c1d1f3495230,2017-04-12,25536.75637680876,12443.454956472653,21627.55397671523,9163.054206771663,False
Mr. Raymond Sanchez,other,1969-09-01,49,+1-508-510-0150x6290,derek70@example.net,604 Megan Route Apt. 162,New Kylie,North Dakota,66268,self-employed,Goodwin-Cox,37615.36009326061,business,42663.0440644965,15,False,True,True,True,True,Kelly-Price,sole proprietorship,6922cdd7-4b46-4a22-b428-12289d402a74,2009-04-26,15322.443065170302,7968.013095187305,23649.016769310263,5364.063349264407,False
Douglas Mcguire MD,other,1964-02-20,27,(656)399-1620x67592,mdaniels@example.org,27260 Jason Garden,South Tricia,Texas,92723,business owner,Wright-Lamb,15273.540131129657,business,26429.78421795747,24,True,False,True,False,True,Turner-Harvey,partnership,91dc6445-0f35-421a-a51a-5c65c999b50d,2020-01-14,35693.61434173732,8466.296815952574,37394.199979868965,4832.163435136699,False
Mark Taylor,other,1960-06-05,25,229.362.8528,marywood@example.com,211 Meadows Trail,Emilychester,Iowa,10383,self-employed,Price Group,35423.30221386837,business,37562.69914531314,22,False,True,False,True,True,"Powers, Gray and Hughes",corporation,84f21926-a21c-44b1-8cbf-b216200bfe57,2005-09-28,26052.47427763056,11352.180567915482,27547.498103362264,7953.252552268214,True
Teresa Fernandez,female,1964-03-20,20,+1-271-207-9028,nataliecharles@example.com,45929 Combs Harbors Apt. 838,Lake Christopher,Arizona,55446,salaried,Fernandez and Sons,24188.352799152442,business,62249.37379757066,28,False,True,True,True,True,Serrano-Boone,corporation,a086f197-2d7f-4486-be0c-74de24a5a64e,2002-11-19,45383.1291156311,16731.95753191706,36315.89983174435,8106.800099979749,False
Emily Bass,other,1971-12-27,67,+1-360-888-8295x3669,jill47@example.net,7220 Scott Throughway Apt. 006,Nancymouth,Ohio,12361,self-employed,Cooper-Shea,9625.315681260043,business,56419.259744284995,36,True,False,False,True,True,"Gonzalez, Townsend and Ellis",partnership,b7f7ea07-b9aa-49cd-be11-edee86d793c7,2023-11-17,9528.213132815625,3174.0523124072392,40558.2503590624,3667.941753547884,True
Tammy Austin,male,1978-12-30,21,(611)667-1622x1601,clementsjason@example.net,9180 Smith Passage,South Kellyport,Delaware,04588,salaried,Cruz PLC,15223.634296823266,business,84679.68441343358,16,False,True,False,False,True,Bailey and Sons,corporation,ceabe42c-fafd-4b3a-9fb5-a0c330193b26,2006-09-02,28333.954412876945,11652.900446146998,28563.988125016087,2582.2917766227692,False
Nicole Mcintyre,male,1983-10-05,23,+1-313-969-0151x334,owright@example.net,01173 Andrea Burg Suite 293,Nelsontown,Georgia,03841,self-employed,Barker-Brennan,34239.16037920784,business,99320.10519905367,33,False,True,True,False,True,Jackson-Pena,partnership,bd7c10e5-2a04-4880-bb27-75889800eb4c,2017-05-25,16181.137721525201,19093.59136764276,34304.60991391014,4886.891669217301,False
Mary Smith,female,1996-04-24,56,856-215-8773,rebecca27@example.net,424 Walker Knoll Apt. 289,Lake Tanya,Illinois,94999,business owner,"Ballard, Kelly and Edwards",6206.776508987012,business,64626.973535026285,17,False,True,False,True,True,Washington-James,partnership,8a605dc2-214d-40d6-a5b0-66dbd6a2bbe9,2021-03-26,40444.203198369854,17061.27495944228,20896.386986692713,1327.863589903664,True
Ariana Hall,male,1960-12-15,24,520.451.0275,xpage@example.net,536 Jacob Stream Apt. 101,Carriefurt,Wyoming,75016,business owner,Kelly-Allen,29933.83533368321,business,31434.568715397338,31,False,False,True,True,True,Smith PLC,partnership,cd9b385f-905f-4051-9108-2b84cb60448c,2019-08-04,13970.04661747651,5152.46452816151,13965.275995523503,8414.823513598385,False
Renee Barr,male,1998-11-07,28,842-425-0587x791,andreaclarke@example.org,884 Spencer Mews,West Natalie,Montana,88781,self-employed,Rodriguez-Calderon,18818.899336841994,business,71721.37830738173,16,False,False,False,True,True,Lewis-Montgomery,corporation,2f8f0fcf-25af-4b82-9fd2-86ccf5d6871c,2006-11-23,38328.31413653612,14403.380640497544,14835.069080671883,7230.140467798082,False
Evan Gilbert,male,1999-11-16,70,5769153064,ericmiles@example.net,93164 Logan Drives Apt. 003,Lake Kevinborough,Wisconsin,02667,business owner,Winters and Sons,37423.943496825384,business,82074.47689194905,24,False,True,False,False,True,Christian Ltd,partnership,aab0f09f-be1f-4ee3-8acd-cc41bac4d77b,2002-04-24,34883.61167901276,3567.6834345981124,29318.02182753438,8622.695401939505,True
Thomas Pineda,female,1965-05-27,48,+1-997-453-8745x697,chelsea05@example.org,74016 Nixon Drive Suite 553,Jasonburgh,Florida,48590,self-employed,Martinez-Williams,48356.359287722655,business,24400.790423378392,16,False,True,False,False,True,Murray Inc,corporation,913427c8-7674-4ef6-adda-82e400e877f1,2004-06-17,46544.10249110426,12421.776865027497,48528.41944026103,5060.651818972232,True
Dawn Smith,male,1985-01-01,54,571.234.8052x3687,michaelsmall@example.org,7452 Chapman Loop Apt. 120,New Michaelhaven,Florida,13538,self-employed,Stewart-Stanley,14271.210149034734,business,69525.63314359017,31,True,False,False,True,True,Jimenez-Cohen,partnership,0cb35f98-a1e2-4f0f-a92c-ef2c1f3e3435,2016-07-23,17545.017527772718,16882.84572790195,17491.375667556887,8677.707591018796,True
Marisa Newton,male,2005-11-27,36,001-549-286-8755x3373,darin13@example.com,028 Julie Brooks,Michaelborough,Alaska,05943,self-employed,May Inc,34082.62151878572,business,80062.70445161543,23,True,True,False,False,True,Archer-Alexander,sole proprietorship,a6c7cc31-63bf-418e-a503-41640c13c1f0,2011-05-22,14308.24360542866,7232.694915624497,44580.13890262986,2657.9792364799196,False
Sharon Smith,other,1961-03-01,38,001-302-688-3520,fmartinez@example.org,77675 Torres Causeway,Ginaview,New Mexico,83905,self-employed,Wallace-Moreno,36241.97512292456,business,52899.97431574021,13,False,False,True,True,True,Yates Group,corporation,7c4c18f5-3bbd-41b3-809f-564c84a4363d,2020-01-28,48319.846879205325,6338.07156815039,16382.760895261807,8982.378222354351,False
Brian Bryan,male,1985-03-22,20,+1-974-795-2783x4815,knelson@example.net,2386 Jackson Mountains,Williamberg,Indiana,91316,salaried,"Mcdonald, Maldonado and Carpenter",38579.42273953213,business,86560.98818998093,23,True,False,True,False,True,Johnson-Callahan,sole proprietorship,d0d29c58-d98c-474f-8c80-ffef828a7923,2005-07-09,13419.85392276939,6369.893473982511,19961.96185791828,2031.265008872758,True
Allison Johnson,male,1988-01-08,21,001-471-499-6230,gsmith@example.org,2886 Roberts Haven Suite 778,North Joshua,Massachusetts,98549,salaried,"Floyd, Benitez and Deleon",30473.331175241463,business,96469.94948013428,13,False,True,False,False,True,"Gray, Carpenter and Jackson",corporation,3b592b48-d84d-4eb2-8c93-ccfdca1d490f,2013-12-25,41391.36601869651,9728.366536727246,27981.3088003704,6325.711793287945,False
Christina Tyler,other,2004-09-08,43,001-519-425-0214x275,imartinez@example.com,0611 Anna Port Suite 896,Crystalfort,South Carolina,49167,self-employed,Smith PLC,42932.938759316436,business,10413.576790876808,24,True,False,False,False,True,"Wright, Campbell and Turner",sole proprietorship,9d27aac8-0950-46d0-b6f3-2788eb01cfa3,2023-01-08,19714.57426967985,18653.962260126773,45769.6097062559,6719.687039481349,True
Lisa Williams,female,1974-08-01,36,(378)642-6897,wrightnatalie@example.com,773 Harvey Shore Suite 382,Leemouth,Vermont,07195,self-employed,Stanley LLC,36775.48375358753,business,72659.84585590975,26,False,True,True,False,True,Wilcox LLC,corporation,e1678ed4-d122-4452-a379-a2681688f660,2002-06-01,45873.9095210497,2339.8401084234442,32231.504850503847,4303.515104885165,False
Katie Bowen,other,1958-09-21,19,001-334-223-2944,marcus23@example.net,64428 Thomas Ports Apt. 903,Turnerview,North Dakota,74839,salaried,"House, Hurst and Ball",21122.23059733772,business,83237.69303226777,21,False,True,False,True,True,Butler-Fernandez,corporation,b68440ac-e0c8-492d-a848-fb8743f89e0d,2013-11-06,14672.053110736673,6246.258570805991,10824.681461333108,1885.7709290880211,False
David Hernandez,female,2004-04-13,20,(951)985-7265x547,hobrenda@example.com,034 Natalie Path Suite 142,Lake Ashley,Nebraska,28587,self-employed,Murray Ltd,40904.44222006195,business,65006.778866852386,14,False,False,False,True,True,Johnson LLC,partnership,ac37ecb1-62bb-407f-92a4-ab350062b0c6,2003-02-27,32707.647629508494,2753.5876855623874,42331.60905883252,1233.1503011041723,True
Amber Powers,female,1993-12-15,26,843-664-0217x76535,ksimon@example.org,943 Alvarado Parks Apt. 054,South Jose,New York,70925,self-employed,Munoz-Sanders,13755.34560807977,business,79592.86072506552,35,False,True,True,False,True,Vasquez-Lynn,sole proprietorship,088cc5d0-8168-4509-bbc2-0330bb813d30,2000-01-05,18443.15059559105,12670.78596236725,35270.76879347922,5578.306920069778,True
David Jennings,female,1978-11-21,34,(260)903-5078,ogardner@example.com,155 Kathleen Mews,Traceyberg,Missouri,68130,salaried,"Bennett, Dean and Briggs",42125.518757587284,business,43418.689638445896,35,False,False,False,False,True,Valencia LLC,sole proprietorship,41166516-0c9f-48af-8c4a-d0e343b6560e,2000-05-16,35735.562215182596,10193.169862656996,34977.60044366325,9082.875412202666,False
Thomas Bolton,male,1978-05-12,26,872.815.4715,rlivingston@example.net,68965 Brian Shore,Port Kendra,New Mexico,77104,salaried,"Elliott, Clark and Lee",38634.9836958287,business,46552.427595230656,33,True,True,True,True,True,"Howell, Nelson and Harrison",corporation,6074a0be-3d58-44b3-bbb3-1eada7a77b3f,2007-10-11,27008.75861632699,10406.56627103746,10269.061441339481,9941.29726230886,False
Laurie Matthews,male,1975-09-28,67,5309082567,vgeorge@example.org,0151 Knight Burgs,Cynthialand,Wyoming,31777,business owner,"Garcia, Sullivan and Maddox",8890.133756222396,business,71683.48327476214,13,False,True,False,False,True,"Riley, Wallace and Hall",corporation,afad5037-5378-4d5c-91e9-8faab62f4e8f,2005-01-22,47467.33872914218,13226.3164212026,29007.01528628392,5665.232294074836,False
Sandra Lucas,male,2004-09-24,37,7944187776,amyjordan@example.com,782 Tiffany Courts,Lake Robert,South Carolina,60368,self-employed,Reed PLC,14009.51838470067,business,40908.02457889833,34,False,False,True,False,True,"Thompson, Owens and Franklin",sole proprietorship,a9e4f7ae-5146-4e56-9f2f-980bef954637,2024-05-13,27085.151506135273,13189.986885951912,28268.33019844298,6100.963729804212,True
Jason Hayes,female,1995-11-29,66,+1-937-419-1196x20342,william47@example.com,2048 Samantha Club,Erinstad,Rhode Island,31003,salaried,Lopez-Butler,21288.811939886287,business,12575.617344306327,26,False,False,True,True,True,Craig-Young,corporation,8e83b804-4d21-4f3a-835f-cb40291de5c8,2000-08-25,14090.25154208623,16512.14565763776,32653.908974962622,6823.631708454851,False
William Campbell,female,1992-10-01,51,001-775-778-4942x2004,beckfrank@example.com,404 Alexander Rapids,South Angelville,Oklahoma,68877,business owner,Smith and Sons,30963.187773867427,business,86282.75425290203,34,False,True,True,False,True,Taylor-Miles,sole proprietorship,558469a4-192d-45f6-bb07-38926ef0488a,2001-06-16,30918.484950047317,12702.788265855455,26042.33328392249,8844.224622493857,False
Tyrone Cook,male,1994-06-10,62,3435036516,austin34@example.net,90616 Hopkins Garden,Braunborough,New York,14982,salaried,Taylor-Moreno,9329.432122139211,business,51882.17149030944,35,True,False,False,False,True,Wright Group,sole proprietorship,44f2ab76-291b-4f89-81e5-fb1dec46aded,2005-08-08,13329.090142770676,16102.674891137598,43752.69595142304,4398.597867112012,True
Jonathan Blake,female,1993-09-06,32,483-891-4631x549,destiny59@example.net,43608 Austin Summit,New Mollymouth,Pennsylvania,60893,business owner,Gray Ltd,11004.79015575604,business,29668.496633750878,16,True,True,False,False,True,"Hughes, Jackson and Marshall",partnership,d93332a4-4ce2-4e06-bad9-a9d538559f05,2015-08-22,10224.153395585325,5968.314908849775,13605.22132417175,7429.060894232189,False
Eric Moore,other,2003-02-24,62,593.360.8769,joseph54@example.com,8172 Tiffany Burg Apt. 369,Sheltonside,Hawaii,75030,salaried,Meza Inc,27264.601632064136,business,74539.71586057017,34,False,False,True,False,True,Mejia-Gilmore,sole proprietorship,7eada641-bb68-48ae-84d4-9b9067ec6d42,2006-05-15,33238.42219573361,12288.749745120193,16514.031877866637,1096.550313602762,False
Paul Young,other,1997-10-11,26,+1-888-824-3324x3804,shannonmatthew@example.com,001 Garcia Canyon,Morrisonton,Texas,84297,self-employed,Sanders PLC,8560.629661922674,business,52957.205037734326,22,True,False,False,True,True,Cochran Group,partnership,ce63a1bb-578f-4bf6-8ba5-69c0d3373751,2003-05-10,27286.65324611778,19823.968221801722,24530.34255695766,8154.043205423345,False
Jesus Lane,male,1959-04-15,62,001-816-896-2054x620,qturner@example.org,75489 Nicole Trail,Amandaside,New Jersey,53620,salaried,Ingram Inc,42482.34620308982,business,19404.772537746772,16,True,True,True,False,True,"Miller, Mason and Landry",sole proprietorship,8c635c68-fb53-4e1d-b3e4-849cb665ced5,2013-03-29,23529.915896710972,13964.85180024543,23025.185237232246,7153.4757673303,False
Christopher Anderson,female,1957-03-14,56,001-732-348-4776x5573,icabrera@example.org,985 Becker Tunnel Suite 783,Alexanderberg,Delaware,92695,business owner,Stevens-Bennett,14465.08454624944,business,93254.0441716584,26,False,True,True,False,True,Simmons-Clark,partnership,ec5433f6-6371-45ad-8620-f4193890a22e,2023-07-11,33229.9718718724,2335.6427376270417,27578.56200339185,3409.3748202805277,False
Stacey Young,other,2003-11-24,56,756.960.9305x15931,irivera@example.org,68010 Caroline Bypass,Connerbury,Illinois,21247,self-employed,"Bennett, Stevens and Vazquez",29821.664922856293,business,61818.4299340554,28,True,False,True,False,True,Martinez and Sons,corporation,53a96be3-d332-4704-bbc0-9b1e949b676f,2022-10-04,25648.31467092683,14950.172933260108,26007.18145123375,7028.42721134631,False
Nicole Smith,female,1957-02-04,22,001-676-505-8667x10155,deborah24@example.org,485 Robert Parkway,Floresport,Utah,95900,salaried,Novak Group,33652.469231734474,business,32310.311783231846,22,False,True,False,False,True,"Meyer, Johnson and Bean",partnership,1392a52f-1175-4dcd-86d1-68b3066258d7,2015-07-26,30912.29769888348,11971.977288644044,18113.117845108758,4651.971018463604,False
Richard Long,other,1972-06-02,43,(646)444-0054x388,rwood@example.net,923 Hanson Square Apt. 462,Martinezville,New York,71198,business owner,"Jackson, Smith and Walker",36631.243641814355,business,16879.358263628706,15,True,True,True,True,True,Webster LLC,sole proprietorship,57d1afb1-32ad-414e-bbca-3be748c5939b,2004-10-14,12223.383727287666,12297.91577203191,24646.54704842682,2637.0231417525183,True
Jonathan Stewart,other,1994-06-19,62,+1-240-821-0163x48110,mgreer@example.net,5818 Rollins Squares Apt. 534,East Kristenburgh,Alaska,51072,business owner,"Walters, Johnson and Haney",4143.99033717338,business,38209.99491166434,33,False,False,True,True,True,Brown Inc,corporation,316af682-05a4-47a4-a628-051ee01c2bbf,2012-04-14,35117.1569088891,3113.789427460285,44804.79366556389,2215.055008672613,True
Drew Wall,female,1997-06-13,19,890-308-5390,scottthompson@example.com,6119 Hansen Port,West Jessicaburgh,Oklahoma,11353,self-employed,Smith Group,24550.12304249718,business,35059.678174981455,21,False,True,True,False,True,Morgan Ltd,sole proprietorship,ca8cb875-8ca3-472e-b7f2-5a80982abab1,2013-07-22,45393.89161005679,7102.9272537851375,16346.249662655868,3941.4028229008973,True
John Miller,other,2003-12-15,31,(475)259-8333x2247,woodwardjames@example.net,765 Kyle Isle Apt. 550,Fostermouth,Arkansas,54919,business owner,Weaver PLC,22889.69029452063,business,93344.12437631228,28,False,False,False,True,True,"Cervantes, Browning and Meyer",partnership,7216481d-feed-4cf8-9f82-88414621f3a0,2003-02-21,7925.413558641714,9434.09183400346,32017.196300937565,1007.0840957516423,True
Michael Bruce,female,1992-11-10,41,981.373.5833x774,williamnunez@example.org,53529 Navarro Corners,Stanleyburgh,North Dakota,08785,business owner,Washington-Oneal,13853.227585615432,business,89416.12700179419,28,True,True,False,True,True,Saunders Group,sole proprietorship,c0ccb887-9115-4287-baf3-b66528814754,2014-03-02,27760.956297716286,3499.99285660658,41425.31393701969,8715.389872264353,False
Jay Newman,female,1996-08-26,45,865-646-5328x911,dylan19@example.net,2989 Stephens Ports,Gutierrezmouth,Arkansas,21924,salaried,Drake Group,49009.08254090332,business,45094.63344096689,14,True,True,False,False,True,"Reynolds, Ayers and Thompson",partnership,fa12a103-29e0-4a0c-a76b-1c1b66845139,2018-01-02,19856.078594642975,17427.645234888907,28345.212783361392,4271.588957757645,False
Teresa Ramirez,other,1988-12-01,45,579.480.8782,lopezdakota@example.com,1091 Smith Plaza Apt. 529,Wardbury,Arkansas,89387,self-employed,Walsh and Sons,4308.971364668963,business,57516.74875462412,32,True,True,False,True,True,Leach Group,corporation,0e3350d2-a833-4e89-acca-3d5ecc49cb7c,2003-11-04,38676.17941407125,5340.613888160826,34014.6021326153,4293.3169979106815,True
Nathaniel Scott,female,1967-08-23,39,(288)231-1555x994,brendaramirez@example.net,617 Megan Fort,Port Jamesshire,South Dakota,08462,salaried,Aguirre-Johnson,32558.976034291398,business,52163.76136182585,20,True,True,False,True,True,Silva-Cox,partnership,31efdcfc-310b-496e-9034-a444d09bf33b,2023-05-27,32094.165564058723,19297.11378151216,24568.9169656347,2002.8031229495687,True
Lisa Moore,female,1974-02-14,21,001-766-623-7776x0845,michaelgarza@example.net,7796 Emily Underpass Apt. 243,East Becky,Alaska,82753,self-employed,"Ryan, Davis and Davis",11837.52250154717,business,85145.80475371303,24,False,False,False,True,True,Martinez-Odonnell,sole proprietorship,c5a2d39b-cb43-43cf-a67f-92fe6d7baa6a,2001-11-29,48028.41983890104,7523.791412476021,39530.191085505445,8824.730416169123,False
Michelle Fuller,other,1971-04-11,70,500-629-2282x16313,xedwards@example.com,5111 Salinas Lights Suite 810,Bowmanside,Iowa,40424,business owner,"Carpenter, Rios and Wilson",24337.40999135405,business,57779.11238802292,14,True,False,True,True,True,Davis Group,sole proprietorship,065f5b13-845d-49be-b035-bec21163bbe8,2003-10-02,49614.26040129156,10290.664586045577,29793.782098529755,1825.5258077615622,False
Anthony Jones,female,1985-04-15,56,205-919-0511x958,eugenetaylor@example.org,35912 Moses Mews,East Sarah,New Hampshire,51551,salaried,Torres-Krueger,30422.341118803375,business,70261.53601069286,27,True,False,False,True,True,"Carr, Sanders and Coleman",partnership,13006f92-04ad-441d-bc94-440b28a25bd1,2002-04-14,32862.11698942721,11798.627209636406,46759.921612223574,3656.306852749116,True
Ralph Rodgers,male,1997-05-04,67,719.771.2695,joel76@example.com,54800 Smith Wall Suite 165,East Albert,Alaska,60221,business owner,"Skinner, Peterson and Martin",9704.669140941785,business,16349.277647237588,17,True,False,False,True,True,Henderson-Cole,partnership,eb9202bd-998a-4852-bd00-e6bb81ccbf6e,2003-09-16,20429.78093873128,4203.299064384544,30217.214002913926,7517.391006499792,True
